PLT_CN,FPAG,STANDPLOT_CN
13023123010497,CDG1,13023123010497_4
13023123010497,CDG1,13023123010497_1
13023283010497,CES1,13023283010497_1
13023283010497,CES1,13023283010497_2
13023283010497,CES1,13023283010497_3
13023283010497,CES1,13023283010497_4
13023777010497,CDS6,13023777010497_1
13023777010497,CDS6,13023777010497_2
13023777010497,CDS6,13023777010497_4
13023777010497,CDS6,13023777010497_3
13024252010497,CDG1,13024252010497_1
13024252010497,CDG1,13024252010497_2
13024252010497,CDG1,13024252010497_3
13024252010497,CDG1,13024252010497_4
13024455010497,CES1,13024455010497_1
13024455010497,CES1,13024455010497_2
13024455010497,CES1,13024455010497_3
13024455010497,CES1,13024455010497_4
13025184010497,CDS4,13025184010497_1
13025184010497,CDS4,13025184010497_2
13025184010497,CDS4,13025184010497_3
13025184010497,CDS4,13025184010497_4
13025401010497,CDS6,13025401010497_1
13025401010497,CDS6,13025401010497_2
13025401010497,CDS6,13025401010497_4
13025401010497,CDS6,13025401010497_3
13026273010497,CES2,13026273010497_1
13026273010497,CES2,13026273010497_2
13026273010497,CES2,13026273010497_3
13026273010497,CES2,13026273010497_4
13026585010497,CEF4,13026585010497_1
13026585010497,CEF4,13026585010497_2
13026585010497,CEF4,13026585010497_3
13026585010497,CEF4,13026585010497_4
13027182010497,CES,13027182010497_3
13027182010497,CES,13027182010497_4
13027182010497,CES,13027182010497_1
13027182010497,CES,13027182010497_2
13027896010497,CFS5,13027896010497_1
13027896010497,CFS5,13027896010497_2
13027896010497,CFS5,13027896010497_4
13027896010497,CFS5,13027896010497_3
13028303010497,CDG1,13028303010497_3
13028303010497,CDG1,13028303010497_4
13028303010497,CDG1,13028303010497_1
13028303010497,CDG1,13028303010497_2
13028606010497,CAC1,13028606010497_4
13028606010497,CAC1,13028606010497_1
13028606010497,CAC1,13028606010497_2
13028606010497,CAC1,13028606010497_3
13028844010497,CEM2,13028844010497_4
13028844010497,CEM2,13028844010497_1
13028844010497,CEM2,13028844010497_2
13028844010497,CEM2,13028844010497_3
13029405010497,CES4,13029405010497_1
13029405010497,CES4,13029405010497_2
13029405010497,CES4,13029405010497_3
13029405010497,CES4,13029405010497_4
13030125010497,CDG1,13030125010497_4
13030125010497,CDG1,13030125010497_1
13030125010497,CDG1,13030125010497_2
13030125010497,CDG1,13030125010497_3
13037626010497,CFS2,13037626010497_1
13037626010497,CFS2,13037626010497_2
13037626010497,CFS2,13037626010497_3
13037626010497,CFS2,13037626010497_4
13038857010497,CH,13038857010497_1
13038857010497,CH,13038857010497_2
13038857010497,CH,13038857010497_3
13038857010497,CH,13038857010497_4
13039392010497,CFS2,13039392010497_1
13039392010497,CFS2,13039392010497_2
13039392010497,CFS2,13039392010497_3
13039392010497,CFS2,13039392010497_4
13041108010497,HA,13041108010497_2
13041108010497,HA,13041108010497_3
13041108010497,HA,13041108010497_1
13041108010497,HA,13041108010497_4
13049707010497,CF,13049707010497_1
13049707010497,CF,13049707010497_2
13049707010497,CF,13049707010497_3
13049707010497,CF,13049707010497_4
13050083010497,CH,13050083010497_3
13050083010497,CH,13050083010497_4
13050083010497,CH,13050083010497_2
13050083010497,CH,13050083010497_1
13050584010497,CMS2,13050584010497_3
13050584010497,CMS2,13050584010497_1
13050584010497,CMS2,13050584010497_2
13050584010497,CMS2,13050584010497_4
13050884010497,CHF1,13050884010497_1
13050884010497,CHF1,13050884010497_2
13050884010497,CHF1,13050884010497_3
13050884010497,CHF1,13050884010497_4
13051689010497,CMS3,13051689010497_1
13051689010497,CMS3,13051689010497_2
13051689010497,CMS3,13051689010497_4
13051689010497,CMS3,13051689010497_3
13052893010497,CHS1,13052893010497_4
13052893010497,CHS1,13052893010497_1
13052893010497,CHS1,13052893010497_2
13052893010497,CHS1,13052893010497_3
13053113010497,CD,13053113010497_1
13053113010497,CD,13053113010497_2
13053113010497,CD,13053113010497_3
13053113010497,CD,13053113010497_4
13053565010497,CDG1,13053565010497_1
13053565010497,CDG1,13053565010497_2
13053565010497,CDG1,13053565010497_3
13053565010497,CDG1,13053565010497_4
13053798010497,CWS5,13053798010497_1
13053798010497,CWS5,13053798010497_2
13053798010497,CWS5,13053798010497_3
13053798010497,CWS5,13053798010497_4
13054170010497,CDG1,13054170010497_4
13054170010497,CDG1,13054170010497_1
13054170010497,CDG1,13054170010497_3
13054170010497,CDG1,13054170010497_2
13054791010497,CPS2,13054791010497_1
13054791010497,CPS2,13054791010497_2
13054791010497,CPS2,13054791010497_3
13054791010497,CPS2,13054791010497_4
13055193010497,CFS2,13055193010497_1
13055193010497,CFS2,13055193010497_2
13055193010497,CFS2,13055193010497_3
13055193010497,CFS2,13055193010497_4
13055470010497,CFS4,13055470010497_1
13055470010497,CFS4,13055470010497_3
13055470010497,CFS4,13055470010497_4
13055470010497,CFS4,13055470010497_2
13055730010497,CWS5,13055730010497_1
13055730010497,CWS5,13055730010497_2
13055730010497,CWS5,13055730010497_3
13055730010497,CWS5,13055730010497_4
13058072010497,CWG1,13058072010497_1
13058072010497,CWG1,13058072010497_2
13058072010497,CWG1,13058072010497_3
13058072010497,CWG1,13058072010497_4
13058452010497,CWG1,13058452010497_1
13058452010497,CWG1,13058452010497_2
13058452010497,CWG1,13058452010497_3
13058452010497,CWG1,13058452010497_4
13059631010497,CHF1,13059631010497_1
13059631010497,CHF1,13059631010497_2
13059631010497,CHF1,13059631010497_3
13059631010497,CHF1,13059631010497_4
13060802010497,CMS2,13060802010497_1
13060802010497,CMS2,13060802010497_2
13060802010497,CMS2,13060802010497_3
13060802010497,CMS2,13060802010497_4
13062038010497,CH,13062038010497_1
13062038010497,CH,13062038010497_2
13062038010497,CH,13062038010497_3
13062038010497,CH,13062038010497_4
