CN,LAT,LON
24494128010900,48.50486,-121.086021
24494145010900,48.523984,-121.295371
24494501010900,48.551746,-120.937597
24494518010900,48.601103,-122.393544
24494542010900,48.605074,-121.870052
24494561010900,48.631671,-122.041082
24494715010900,45.671872,-122.158236
24494906010900,45.649851,-121.998374
24495098010900,45.708891,-121.826744
24495112010900,45.799057,-122.050983
24495364010900,45.79322,-121.770342
24495541010900,45.851641,-122.190457
24495777010900,45.850686,-121.690613
24496038010900,45.845664,-121.835256
24496392010900,45.992095,-122.225922
24496621010900,46.024683,-121.865597
24496911010900,45.99426,-121.688781
24497166010900,46.065112,-121.549418
24497410010900,46.150281,-122.142331
24497597010900,46.14638,-122.037816
24497836010900,46.191037,-121.898918
24498082010900,46.219985,-121.559086
24196977010900,47.997824,-117.86284
24197141010900,47.944418,-117.646583
24197329010900,47.990221,-117.781841
24197513010900,48.144097,-118.16554
24197646010900,48.150732,-117.842284
24197671010900,48.137662,-117.645589
24197823010900,48.290734,-118.023388
24197940010900,48.289555,-117.645627
24198187010900,48.334324,-117.871277
24198346010900,48.335184,-117.80816
24198552010900,48.436253,-117.728666
24198812010900,48.482498,-117.872443
24198975010900,48.503682,-117.521806
24199192010900,48.636029,-117.872465
24199205010900,48.614029,-117.686663
24199550010900,48.685146,-117.533322
24199899010900,48.787881,-118.097752
24199913010900,48.790597,-117.728669
24200188010900,48.795207,-117.906394
24200393010900,48.897164,-118.087829
24200733010900,48.937827,-117.741623
24200744010900,48.990569,-117.942299
24200982010900,48.981858,-117.582445
24201192010900,46.811613,-122.765427
24201362010900,46.832296,-122.942804
24201376010900,46.835051,-122.432918
24201391010900,46.862029,-122.596198
24201406010900,47.000799,-122.97225
24201417010900,46.984875,-122.783398
24201431010900,47.079019,-123.176957
24201661010900,47.132369,-122.81186
24201837010900,46.248333,-123.380264
24201986010900,46.293046,-123.527573
24202174010900,46.108392,-118.820323
24202185010900,46.126946,-118.476587
24202196010900,46.160902,-118.651192
24202207010900,46.176231,-118.315191
24202218010900,46.140853,-118.124222
24202232010900,46.237499,-118.726104
24202248010900,46.271361,-118.837146
24202259010900,46.31971,-118.671535
24202270010900,46.287159,-118.49681
24202281010900,46.341653,-118.325145
24202292010900,46.453746,-118.513974
24202303010900,48.647586,-122.614857
24202451010900,48.703045,-122.24625
24202790010900,48.650055,-122.09727
24203073010900,48.701786,-121.695277
24203361010900,48.714999,-121.344858
24203376010900,48.746059,-121.54369
24203697010900,48.747542,-121.003724
24203890010900,48.799544,-122.462575
24204095010900,48.790547,-121.183763
24204109010900,48.813255,-122.638172
24204171010900,48.853479,-122.097905
24204444010900,48.787861,-120.791902
24204496010900,48.701011,-122.085784
24204728010900,48.848467,-121.774165
24204972010900,48.897025,-121.908967
24205275010900,48.905188,-121.359478
