OID_,CN,LAT,LON
194,24507810010900.000000000000000,47.750880000000002,-120.765867999999998
195,24508102010900.000000000000000,47.723588999999997,-120.588526999999999
196,24508278010900.000000000000000,47.770648000000001,-120.442463000000004
197,24508542010900.000000000000000,47.741551000000001,-120.266247000000007
198,24508711010900.000000000000000,47.809952000000003,-120.072978000000006
199,24508760010900.000000000000000,47.854897999999999,-120.987655000000004
200,24509014010900.000000000000000,47.898631000000002,-120.626688000000001
201,24509233010900.000000000000000,47.906199999999998,-120.835372000000007
202,24509568010900.000000000000000,47.888627000000000,-120.253505000000004
203,24509895010900.000000000000000,47.943044000000000,-120.471798000000007
204,24510110010900.000000000000000,47.910426999999999,-119.920816000000002
205,24510126010900.000000000000000,47.933171000000002,-120.101682999999994
206,24511790010900.000000000000000,48.354230000000001,-120.742513000000002
207,24206435010900.000000000000000,48.990751000000003,-120.869619000000000
208,24149217010900.000000000000000,47.216417999999997,-121.793908999999999
209,24149445010900.000000000000000,47.254221000000001,-121.971155999999993
210,24149614010900.000000000000000,47.270695000000003,-121.434049000000002
211,24149942010900.000000000000000,47.357497000000002,-122.158591999999999
212,24149957010900.000000000000000,47.428272999999997,-121.990972999999997
213,24150101010900.000000000000000,47.376373999999998,-121.783681000000001
214,24150326010900.000000000000000,47.399304999999998,-121.483832000000007
215,24150481010900.000000000000000,47.429668999999997,-121.644514999999998
216,24150753010900.000000000000000,47.500933000000003,-122.208590999999998
217,24150777010900.000000000000000,47.520471000000001,-121.860676999999995
218,24150792010900.000000000000000,47.515231000000000,-121.436915999999997
219,24151136010900.000000000000000,47.571477000000002,-122.011453000000003
220,24151150010900.000000000000000,47.567487000000000,-121.506157000000002
221,24151234010900.000000000000000,47.598672000000001,-121.666096999999993
222,24151481010900.000000000000000,47.614117000000000,-121.364536999999999
223,24151506010900.000000000000000,47.726067000000000,-121.857320999999999
224,24151714010900.000000000000000,47.726072000000002,-122.074472999999998
225,22398320010497.000000000000000,48.352513999999999,-121.591455999999994
226,22398322010497.000000000000000,48.433028999999998,-121.518209999999996
227,22398324010497.000000000000000,48.455792000000002,-121.708517000000001
228,22398353010497.000000000000000,47.885635999999998,-121.355389000000002
229,22398354010497.000000000000000,48.155458000000003,-121.446770000000001
230,22398356010497.000000000000000,48.138587000000001,-121.563281000000003
231,22398357010497.000000000000000,47.865248000000001,-121.604934000000000
232,22398358010497.000000000000000,47.887051000000000,-121.312764000000001
233,22398359010497.000000000000000,48.206923000000003,-121.452468999999994
234,24181879010900.000000000000000,47.103395999999996,-121.900316000000004
235,24182090010900.000000000000000,46.915149999999997,-121.900313999999995
236,24182303010900.000000000000000,46.888917999999997,-121.726673000000005
237,24182317010900.000000000000000,46.955376000000001,-121.555305000000004
238,24183014010900.000000000000000,47.048554000000003,-121.740165000000005
239,24208877010900.000000000000000,46.472169999999998,-121.160229000000001
240,24209019010900.000000000000000,46.489859000000003,-120.601113999999995
241,24209030010900.000000000000000,46.539515999999999,-120.801851999999997
242,24209055010900.000000000000000,46.545023000000000,-120.437044000000000
243,24209066010900.000000000000000,46.578076000000003,-121.321577000000005
244,24209511010900.000000000000000,46.633025000000004,-120.940731999999997
245,24209525010900.000000000000000,46.654975000000000,-121.138194999999996
246,24209841010900.000000000000000,46.638038000000002,-120.622843000000003
247,24209852010900.000000000000000,46.681739999999998,-120.801407999999995
248,24209866010900.000000000000000,46.671774999999997,-120.286776000000003
249,24209877010900.000000000000000,46.703206999999999,-120.462947000000000
250,24209888010900.000000000000000,46.776670000000003,-121.355877000000007
251,24210303010900.000000000000000,46.727390999999997,-120.118514000000005
252,24210314010900.000000000000000,46.772925000000001,-121.034479000000005
253,24210735010900.000000000000000,46.823787000000003,-121.170615999999995
254,24211245010900.000000000000000,46.849243999999999,-120.835673000000000
255,24211388010900.000000000000000,46.829006000000000,-120.667193999999995
256,24511994010900.000000000000000,48.395080999999998,-120.902448000000007
257,24512016010900.000000000000000,48.455751999999997,-120.653148000000002
258,24512033010900.000000000000000,48.542267000000002,-120.745756999999998
259,24151898010900.000000000000000,47.768914000000002,-121.714468999999994
260,24152056010900.000000000000000,47.714889999999997,-121.512389999999996
261,24152069010900.000000000000000,47.762050000000002,-121.647940000000006
262,24153351010900.000000000000000,46.869973999999999,-120.489998000000000
263,24153362010900.000000000000000,46.836055999999999,-120.301933000000005
264,24153373010900.000000000000000,46.888657000000002,-120.140690000000006
265,24153384010900.000000000000000,46.986750999999998,-120.658531999999994
266,24153398010900.000000000000000,46.982712999999997,-120.877930000000006
267,24153533010900.000000000000000,46.998992000000001,-120.336444999999998
268,24153544010900.000000000000000,47.026139000000001,-120.515477000000004
269,24153555010900.000000000000000,47.068398999999999,-120.940831000000003
270,24153826010900.000000000000000,47.054045000000002,-120.163929999999993
271,24153837010900.000000000000000,47.098148999999999,-121.048693999999998
272,24154066010900.000000000000000,47.142614000000002,-121.239363999999995
273,24154254010900.000000000000000,47.132429000000002,-120.722335000000001
274,24154268010900.000000000000000,47.179693000000000,-120.882773000000000
275,24154282010900.000000000000000,47.174298000000000,-120.354225000000000
276,24154415010900.000000000000000,47.174016999999999,-120.512291000000005
277,24154604010900.000000000000000,47.183259999999997,-120.018066000000005
278,24154615010900.000000000000000,47.213023999999997,-120.220622000000006
279,24154669010900.000000000000000,47.318086999999998,-121.261606000000000
280,24154980010900.000000000000000,47.283844000000002,-121.077167000000003
281,24155165010900.000000000000000,47.311216999999999,-120.946391000000006
282,24155367010900.000000000000000,47.313116000000001,-120.712249999999997
283,24155744010900.000000000000000,47.419276000000004,-121.119146999999998
284,24156119010900.000000000000000,47.464120999999999,-121.298591999999999
285,24156401010900.000000000000000,47.485525000000003,-120.965954999999994
286,24156597010900.000000000000000,47.588870000000000,-121.154217000000003
287,22398184010497.000000000000000,47.771242000000001,-120.482856999999996
288,22398185010497.000000000000000,48.010838000000000,-120.176710000000000
289,22398186010497.000000000000000,47.884749999999997,-121.058265000000006
290,22398187010497.000000000000000,47.692647999999998,-120.221260999999998
291,22398188010497.000000000000000,47.818497000000001,-120.439888999999994
292,22398189010497.000000000000000,47.719476000000000,-120.265152000000000
293,22398190010497.000000000000000,47.873846000000000,-120.504290999999995
294,22398191010497.000000000000000,47.901023000000002,-120.435578000000007
295,22398192010497.000000000000000,47.871930999999996,-120.649581999999995
296,22398193010497.000000000000000,47.401662999999999,-120.385786999999993
297,22398194010497.000000000000000,47.975228999999999,-120.756324000000006
298,22398195010497.000000000000000,47.681750000000001,-120.745930000000001
299,22398196010497.000000000000000,47.909906999999997,-120.245080000000002
