CN,total_TD
22398759010497,74.965282
22398761010497,1349.375084
22398777010497,299.86113
22398779010497,2473.854321
22398781010497,449.791693
22398782010497,899.583388
22398784010497,5847.292029
22398785010497,749.652824
22398786010497,2623.784885
22398814010497,74.965282
22398820010497,599.722259
22398823010497,2398.8890389999997
22398824010497,74.965282
22398826010497,299.86113
22398836010497,374.826412
22398859010497,674.68754
22398863010497,74.965282
22398864010497,599.722259
22398869010497,1274.409802
22398877010497,2323.923756
22398881010497,674.687542
22398883010497,2248.958473
22398884010497,524.756977
22398927010497,149.930564
22398930010497,824.618107
22398936010497,374.826411
22398937010497,299.86113
22398939010497,149.930565
22398951010497,1049.513954
22398957010497,74.965282
22398958010497,449.791695
22398962010497,1124.4792360000001
22398963010497,224.895847
22398964010497,149.930565
22398965010497,1424.340366
22398967010497,524.756976
22398971010497,224.895847
22398972010497,224.895847
22398976010497,224.895847
22398978010497,224.895847
22398981010497,74.965282
22398984010497,74.965282
22398986010497,1499.305649
22398988010497,74.965282
22398989010497,74.965282
22399009010497,2323.9237540000004
22399011010497,524.756977
22399013010497,74.965282
22399014010497,149.930564
22399016010497,74.965282
22399048010497,3823.2294030000003
22399051010497,2323.923756
22399055010497,2248.958473
22399056010497,1499.305648
22399068010497,1274.4098
22399071010497,674.687542
22399073010497,1274.4098020000001
22399074010497,749.652824
22399095010497,449.791694
22399099010497,749.652823
22399108010497,1049.513954
22399155010497,4797.778075
22399156010497,1874.1320609999998
22399162010497,449.791693
22399204010497,149.930564
22399205010497,1499.30565
22399216010497,1049.513954
22399218010497,1949.097344
22399222010497,74.965282
22399224010497,374.826412
22399227010497,449.791695
22399229010497,449.791694
22399230010497,224.895847
22399231010497,1499.305648
22399248010497,1799.1667790000001
22399249010497,1274.4098020000001
22399250010497,974.548672
22399251010497,3523.368275
22399253010497,2024.062626
22399254010497,1874.132061
22399255010497,374.826412
22399256010497,374.826412
22399257010497,224.895846
22399258010497,449.791695
22399259010497,674.687542
22399284010497,599.72226
22399287010497,224.895846
22399288010497,1649.236212
22399289010497,1724.201497
22399306010497,1049.5139530000001
22827140010497,224.895847
22827515010497,74.965282
22827557010497,599.72226
22827625010497,824.618106
22827635010497,5247.569771
22827640010497,3373.43771
